# Figure 4 data: routing-specific monthly fee modelled from published Google Cloud list prices.
# Modelled, not measured: N-Dynamic = ceil(n/8) x $54.75 NCC spoke; N-Cloud = flat $73.00 GKE fee; N-Static = $0.
figure,config,nodes,fee,unit
4,N-Cloud,71,73.0,USD/month
4,N-Static,71,0.0,USD/month
4,N-Dynamic,72,492.75,USD/month
4,N-Cloud,72,73.0,USD/month
4,N-Static,72,0.0,USD/month
4,N-Dynamic,73,547.5,USD/month
4,N-Cloud,73,73.0,USD/month
4,N-Static,73,0.0,USD/month
4,N-Dynamic,74,547.5,USD/month
4,N-Cloud,74,73.0,USD/month
4,N-Static,74,0.0,USD/month
4,N-Dynamic,75,547.5,USD/month
4,N-Cloud,75,73.0,USD/month
4,N-Static,75,0.0,USD/month
4,N-Dynamic,76,547.5,USD/month
4,N-Cloud,76,73.0,USD/month
4,N-Static,76,0.0,USD/month
4,N-Dynamic,77,547.5,USD/month
4,N-Cloud,77,73.0,USD/month
4,N-Static,77,0.0,USD/month
4,N-Dynamic,78,547.5,USD/month
4,N-Cloud,78,73.0,USD/month
4,N-Static,78,0.0,USD/month
4,N-Dynamic,79,547.5,USD/month
4,N-Cloud,79,73.0,USD/month
4,N-Static,79,0.0,USD/month
4,N-Dynamic,80,547.5,USD/month
4,N-Cloud,80,73.0,USD/month
4,N-Static,80,0.0,USD/month
4,N-Dynamic,81,602.25,USD/month
4,N-Cloud,81,73.0,USD/month
4,N-Static,81,0.0,USD/month
4,N-Dynamic,82,602.25,USD/month
4,N-Cloud,82,73.0,USD/month
4,N-Static,82,0.0,USD/month
4,N-Dynamic,83,602.25,USD/month
4,N-Cloud,83,73.0,USD/month
4,N-Static,83,0.0,USD/month
4,N-Dynamic,84,602.25,USD/month
4,N-Cloud,84,73.0,USD/month
4,N-Static,84,0.0,USD/month
4,N-Dynamic,85,602.25,USD/month
4,N-Cloud,85,73.0,USD/month
4,N-Static,85,0.0,USD/month
4,N-Dynamic,86,602.25,USD/month
4,N-Cloud,86,73.0,USD/month
4,N-Static,86,0.0,USD/month
4,N-Dynamic,87,602.25,USD/month
4,N-Cloud,87,73.0,USD/month
4,N-Static,87,0.0,USD/month
4,N-Dynamic,88,602.25,USD/month
4,N-Cloud,88,73.0,USD/month
4,N-Static,88,0.0,USD/month
4,N-Dynamic,89,657.0,USD/month
4,N-Cloud,89,73.0,USD/month
4,N-Static,89,0.0,USD/month
4,N-Dynamic,90,657.0,USD/month
4,N-Cloud,90,73.0,USD/month
4,N-Static,90,0.0,USD/month
4,N-Dynamic,91,657.0,USD/month
4,N-Cloud,91,73.0,USD/month
4,N-Static,91,0.0,USD/month
4,N-Dynamic,92,657.0,USD/month
4,N-Cloud,92,73.0,USD/month
4,N-Static,92,0.0,USD/month
4,N-Dynamic,93,657.0,USD/month
4,N-Cloud,93,73.0,USD/month
4,N-Static,93,0.0,USD/month
4,N-Dynamic,94,657.0,USD/month
4,N-Cloud,94,73.0,USD/month
4,N-Static,94,0.0,USD/month
4,N-Dynamic,95,657.0,USD/month
4,N-Cloud,95,73.0,USD/month
