"# NARA Fig. 2 raw data: monthly managed-service cost vs cluster size (list prices, accessed 2026-07-04)"
"# N-Dynamic = ceil(n/K) * $54.75/mo per NCC router-appliance spoke (K=1, $0.075/h); N-Cloud = flat $73.00/mo GKE fee ($0.10/h); N-Static = $0 managed cost"
"# crossover n* = 73.00/54.75 = 1.33 nodes; route-quota cliff at n = 250 (N-Static/N-Dynamic infeasible beyond, single-region)"
# paper figure uses log-log axes; N-Static plotted at y=1 for log-scale visibility (true value 0)
nodes,N-Dynamic_USD_per_month,N-Cloud_USD_per_month,N-Static_USD_per_month
334,18286.5,73.0,0.0
335,18341.25,73.0,0.0
336,18396.0,73.0,0.0
337,18450.75,73.0,0.0
338,18505.5,73.0,0.0
339,18560.25,73.0,0.0
340,18615.0,73.0,0.0
341,18669.75,73.0,0.0
342,18724.5,73.0,0.0
343,18779.25,73.0,0.0
344,18834.0,73.0,0.0
345,18888.75,73.0,0.0
346,18943.5,73.0,0.0
347,18998.25,73.0,0.0
348,19053.0,73.0,0.0
349,19107.75,73.0,0.0
350,19162.5,73.0,0.0
351,19217.25,73.0,0.0
352,19272.0,73.0,0.0
353,19326.75,73.0,0.0
354,19381.5,73.0,0.0
355,19436.25,73.0,0.0
356,19491.0,73.0,0.0
357,19545.75,73.0,0.0
358,19600.5,73.0,0.0
359,19655.25,73.0,0.0
360,19710.0,73.0,0.0
361,19764.75,73.0,0.0
362,19819.5,73.0,0.0
363,19874.25,73.0,0.0
364,19929.0,73.0,0.0
365,19983.75,73.0,0.0
366,20038.5,73.0,0.0
367,20093.25,73.0,0.0
368,20148.0,73.0,0.0
369,20202.75,73.0,0.0
370,20257.5,73.0,0.0
371,20312.25,73.0,0.0
372,20367.0,73.0,0.0
373,20421.75,73.0,0.0
374,20476.5,73.0,0.0
375,20531.25,73.0,0.0
376,20586.0,73.0,0.0
377,20640.75,73.0,0.0
378,20695.5,73.0,0.0
379,20750.25,73.0,0.0
380,20805.0,73.0,0.0
381,20859.75,73.0,0.0
382,20914.5,73.0,0.0
383,20969.25,73.0,0.0
384,21024.0,73.0,0.0
385,21078.75,73.0,0.0
386,21133.5,73.0,0.0
387,21188.25,73.0,0.0
388,21243.0,73.0,0.0
389,21297.75,73.0,0.0
390,21352.5,73.0,0.0
391,21407.25,73.0,0.0
392,21462.0,73.0,0.0
393,21516.75,73.0,0.0
394,21571.5,73.0,0.0
395,21626.25,73.0,0.0
396,21681.0,73.0,0.0
397,21735.75,73.0,0.0
398,21790.5,73.0,0.0
399,21845.25,73.0,0.0
400,21900.0,73.0,0.0
